OBJECTID,GLOBAL_ID,IDENT,TYPE_CODE,LEVEL_,WKHR_CODE,WKHR_RMK,MAA_VAL,MAA_UOM,MEA_E_VAL,MEA_E_UOM,MEA_W_VAL,MEA_W_UOM,GMEA_E_VAL,GMEA_E_UOM,GMEA_W_VAL,GMEA_W_UOM,DMEA_VAL,DMEA_UOM,MOCA_VAL,MOCA_UOM,MEAGAP,TRUETRK,MAGTRK,REVTRUETRK,REVMAGTRK,NMAGTRK,NREVMAGTRK,LENGTH_VAL,COPDIST,COPNAV_ID,REPATCSTAR,REPATCEND,DIRECTION,FREQ_CLASS,STATUS,STARTPT_ID,ENDPT_ID,RTPORT_ID,ENRINFO_ID,WIDTHRIGHT,WIDTHLEFT,WIDTH_UOM,MCA1_VAL,MCA1_UOM,MCA1_DIR,MCA2_VAL,MCA2_UOM,MCA2_DIR,MCAPT_ID,MCAPT_TYPE,TFLAG_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,SHAPE_LENGTH
14929,25306AA1-4E98-480F-93D8-A4E4F93211B4,T438,RNAV,L,,,17500,FT,999999,FT,999999,FT,3400,FT,999999,FT,,FT,999999,FT,0,102.62,113.71,282.77,294.82,,,11.14,,,R,R,,,,5A143F21-1ED2-4A75-9B20-AFDAC9E1FC11,75E0F7FE-75AA-4101-89E4-847FA925E9E8,2C64345B-0EA4-4606-8628-A1969B05F133,8CC148A6-EAC0-4DBE-A90B-62CBA8F8BCE1,4,4,NM,999999,,,999999,,,,,1,,0,0,1,0,0,0,0.240813479222095
14930,11FCEAC4-66BF-4E07-9B50-3ED1E3D46C7D,V14,CONV,L,,,17500,FT,5200,FT,999999,FT,999999,FT,999999,FT,,FT,5000,FT,0,81.34,70.34,261.58,250.58,68,251,21.95,,,C,R,,A,,C5C53E8D-A441-4B0C-B8E9-D54A34825AA6,18324703-69F9-4F28-8374-D6C78520C7D0,671CFC17-CC2C-489C-AC85-28D821D12A3A,5BA02406-3756-48E6-A05C-DE3A8EF9550E,4,4,NM,999999,,,999999,,,,,3,,0,0,1,0,0,0,0.436913216161603
14931,66D9BAF2-578D-432E-ACFE-8756D52F5410,T438,RNAV,L,,,17500,FT,999999,FT,999999,FT,4600,FT,999999,FT,,FT,999999,FT,0,98.47,109.11,278.72,290.34,,,18.31,,,R,R,,,,EE8D4472-B2C1-4B32-9E14-A2FF1C9CBE39,E9C77A9C-FE64-4EA4-A4C6-517C8F9C5275,01F6DAF1-4FC5-43DE-9F09-0E7B206D485E,8821F14D-E715-4BB6-800D-A66EDA180C88,4,4,NM,4300,FT,W,999999,,,E9C77A9C-FE64-4EA4-A4C6-517C8F9C5275,1,2,,0,0,1,0,0,0,0.399000996230438
14932,4A5B84A4-343B-4DE5-ACCB-284F66ECB6F1,AR17,OCEAN,U,As specified in remarks,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,196.38,205.28,16.19,24.74,,,70,,,R,R,W,A,,2661E943-EAAB-403C-9E50-BDE596484A89,63BC5258-7008-4FEA-838A-31D1175F132F,58AD3776-FB66-47C6-92C1-254BAE556E94,8735AD32-0D13-4054-A147-9C916E179AD7,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,1.18516543570841
14933,602701C9-5FBE-4EDF-98F7-46B8AD81E56B,AR17,OCEAN,U,As specified in remarks,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,195.6,204.74,15.47,24.37,,,49.71,,,R,R,W,A,,76AFD9E2-ED4D-4012-808C-6D70DE13BDF1,2661E943-EAAB-403C-9E50-BDE596484A89,58AD3776-FB66-47C6-92C1-254BAE556E94,8735AD32-0D13-4054-A147-9C916E179AD7,4,4,NM,999999,,,999999,,,,,1,,0,0,0,1,0,0,0.841371403672444
14934,0D686E52-DBE3-40E0-9405-EA939D4EC7C9,AR18,OCEAN,U,,,60000,FT,999999,FT,999999,FT,24000,FT,999999,FT,,FT,999999,FT,0,11.41,20.32,191.47,200.5,,,31.53,,,R,R,E,A,,EA281065-8C24-4213-AA60-F8C563B43D91,9D3FA175-F627-4A65-99ED-DE9DEA391A43,762A3CBD-1857-45F3-8338-29D7B7C40646,7D4E411F-91D7-4758-A325-FB9B7BAE5D6F,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.530125691321216
14935,013E1FF2-62FE-4620-9391-86A3E89B8263,AR18,OCEAN,U,,,60000,FT,999999,FT,999999,FT,24000,FT,999999,FT,,FT,999999,FT,0,10.82,19.85,190.88,200.03,,,30.04,,,R,R,E,A,,9D3FA175-F627-4A65-99ED-DE9DEA391A43,2305EF0F-D9D8-4D84-8DA3-93AA0CBD3CC4,762A3CBD-1857-45F3-8338-29D7B7C40646,7D4E411F-91D7-4758-A325-FB9B7BAE5D6F,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.504920305844057
14936,7FF67B93-5097-40E1-8AC5-DA8FB64D6130,AR19,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,15.21,24.66,195.32,204.96,,,39.74,,,R,R,W,A,,3BE9790F-B2A2-48F0-AA1E-D64D03182BA5,F0ED3958-8DAC-4112-8881-CE54922E5E9E,BB087DDE-8AFD-4D62-920B-779EA99B597E,DCE7306A-E19B-456C-B71A-E6499C836DC1,4,4,NM,999999,,,999999,,,,,1,,0,0,0,1,0,0,0.673208467233742
14937,F8F55D04-E077-431F-AE12-2419BFFE9DA5,AR19,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,10.29,19.92,190.39,200.23,,,50.75,,,R,R,BW,A,,F0ED3958-8DAC-4112-8881-CE54922E5E9E,AE3DC50B-24D7-4606-83B0-6A74C0696052,BB087DDE-8AFD-4D62-920B-779EA99B597E,DCE7306A-E19B-456C-B71A-E6499C836DC1,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.853356087018083
14938,8BF3EE7D-473B-476C-8367-F9597A4706F1,AR22,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,15.18,24.24,195.38,204.8,,,74.51,,,R,R,W,A,,1056121B-5E9A-4980-A2DB-86DFFE6C6401,91007717-C8CF-4670-91E6-8109601142A7,C67682A5-3B34-472F-B24B-8A84A1F84121,7341CAB6-4615-4867-8E8A-39F4D09F453E,4,4,NM,999999,,,999999,,,,,1,,0,0,0,1,0,0,1.26067886699421
