Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
6356382,367433780,2023-09-01 00:06:14,21.30629,-157.86493,0.0,304.6,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
512381,368926457,2023-09-01 00:06:19,21.35484,-157.95104,0.0,166.2,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
4306332,367416420,2023-09-01 00:07:07,21.30736,-157.86668,0.1,309.8,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,31.0,A
2740012,338431599,2023-09-01 00:07:09,21.20095,-157.84974,3.0,153.4,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
3450322,367151310,2023-09-01 00:07:10,21.31011,-157.86577,0.0,272.6,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328207,366972620,2023-09-01 00:07:10,21.30807,-157.86575,0.0,33.8,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
1678417,366873510,2023-09-01 00:07:13,21.30982,-157.86564,0.0,196.4,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
512382,368926457,2023-09-01 00:07:21,21.3548,-157.95102,0.0,228.0,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
6356383,367433780,2023-09-01 00:07:23,21.30628,-157.86494,0.0,300.6,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
6429594,533180021,2023-09-01 00:08:13,21.32311,-158.11353,0.0,126.1,44.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.5,90.0,A
4270377,366766970,2023-09-01 00:08:16,21.3093,-157.87107,0.0,277.4,120.0,KEKOA,IMO7404085,WDK5246,52.0,5.0,36.0,10.0,4.6,52.0,A
4627209,367416420,2023-09-01 00:08:17,21.30735,-157.86679,0.9,289.8,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
3450323,367151310,2023-09-01 00:08:19,21.31013,-157.86577,0.0,278.6,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328209,366972620,2023-09-01 00:08:20,21.30809,-157.86576,0.9,263.3,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
1678418,366873510,2023-09-01 00:08:23,21.30979,-157.86566,0.0,234.1,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
512383,368926457,2023-09-01 00:08:29,21.3548,-157.95099,0.0,179.7,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
2740017,338431599,2023-09-01 00:08:38,21.19985,-157.84937,2.9,150.4,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
6356384,367433780,2023-09-01 00:08:52,21.30628,-157.86494,0.0,255.2,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
4627210,367416420,2023-09-01 00:09:28,21.30714,-157.86737,2.5,240.8,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
3450324,367151310,2023-09-01 00:09:29,21.3101,-157.86574,0.0,291.1,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328211,366972620,2023-09-01 00:09:31,21.30779,-157.86632,2.3,234.6,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
512384,368926457,2023-09-01 00:09:39,21.35484,-157.95106,0.0,190.4,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678419,366873510,2023-09-01 00:09:43,21.3098,-157.86562,0.0,288.0,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6356385,367433780,2023-09-01 00:10:03,21.30628,-157.86493,0.0,269.2,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
2740021,338431599,2023-09-01 00:10:08,21.1987,-157.84899,2.9,151.0,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
4627212,367416420,2023-09-01 00:10:37,21.30683,-157.86833,3.8,267.9,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
3450325,367151310,2023-09-01 00:10:39,21.31012,-157.86576,0.1,276.9,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328213,366972620,2023-09-01 00:10:40,21.30712,-157.86722,5.1,219.2,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
512385,368926457,2023-09-01 00:10:49,21.35486,-157.95101,0.0,187.6,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678420,366873510,2023-09-01 00:10:52,21.30982,-157.86563,0.0,267.8,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6429595,533180021,2023-09-01 00:11:05,21.32307,-158.11351,0.0,126.1,43.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.5,90.0,A
6356386,367433780,2023-09-01 00:11:14,21.30627,-157.86494,0.0,285.7,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
4270378,366766970,2023-09-01 00:11:20,21.30933,-157.87107,0.0,277.4,120.0,KEKOA,IMO7404085,WDK5246,52.0,5.0,36.0,10.0,4.6,52.0,A
2740026,338431599,2023-09-01 00:11:38,21.19747,-157.84857,3.1,152.3,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
4627213,367416420,2023-09-01 00:11:48,21.30741,-157.86966,4.5,298.0,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
3450326,367151310,2023-09-01 00:11:50,21.31012,-157.86576,0.0,263.5,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328214,366972620,2023-09-01 00:11:50,21.30677,-157.86875,4.9,288.8,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
512386,368926457,2023-09-01 00:11:59,21.35486,-157.95101,0.0,198.1,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678421,366873510,2023-09-01 00:12:04,21.30981,-157.86562,0.0,244.3,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6356387,367433780,2023-09-01 00:12:24,21.30627,-157.86496,0.0,286.4,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
4627215,367416420,2023-09-01 00:12:57,21.30828,-157.87102,5.1,305.3,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
3450327,367151310,2023-09-01 00:12:59,21.31011,-157.86578,0.0,267.2,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328216,366972620,2023-09-01 00:13:00,21.30758,-157.87013,5.3,302.7,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
2740029,338431599,2023-09-01 00:13:08,21.1963,-157.84818,3.2,150.0,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
512387,368926457,2023-09-01 00:13:09,21.35482,-157.95101,0.0,113.8,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678422,366873510,2023-09-01 00:13:12,21.30982,-157.86564,0.0,231.0,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6356388,367433780,2023-09-01 00:13:33,21.30627,-157.86495,0.0,268.1,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3450328,367151310,2023-09-01 00:14:10,21.31013,-157.8658,0.0,276.3,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328218,366972620,2023-09-01 00:14:11,21.30861,-157.87169,5.8,305.4,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
4270379,366766970,2023-09-01 00:14:15,21.30929,-157.87107,0.0,277.4,121.0,KEKOA,IMO7404085,WDK5246,52.0,5.0,36.0,10.0,4.6,52.0,A
6416224,533180021,2023-09-01 00:14:15,21.32311,-158.11353,0.0,126.1,43.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.6,90.0,A
4627216,367416420,2023-09-01 00:14:18,21.30949,-157.87272,5.7,312.2,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
512388,368926457,2023-09-01 00:14:19,21.35481,-157.95104,0.0,224.5,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678423,366873510,2023-09-01 00:14:24,21.3098,-157.86565,0.0,227.9,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
2740033,338431599,2023-09-01 00:14:38,21.19499,-157.84772,3.3,151.4,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
6356389,367433780,2023-09-01 00:14:54,21.30626,-157.86496,0.0,272.7,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3450329,367151310,2023-09-01 00:15:19,21.3101,-157.86578,0.1,257.9,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328220,366972620,2023-09-01 00:15:20,21.30977,-157.87322,5.7,313.8,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
4627217,367416420,2023-09-01 00:15:27,21.31068,-157.87423,5.8,308.5,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
512389,368926457,2023-09-01 00:15:30,21.35485,-157.95103,0.0,174.5,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678424,366873510,2023-09-01 00:15:33,21.30982,-157.86561,0.0,194.3,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6356390,367433780,2023-09-01 00:16:02,21.30627,-157.86496,0.0,258.6,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
2740036,338431599,2023-09-01 00:16:08,21.1936,-157.84725,3.5,151.2,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
3450330,367151310,2023-09-01 00:16:29,21.31011,-157.86577,0.1,224.5,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328222,366972620,2023-09-01 00:16:30,21.31103,-157.87472,5.8,307.7,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
4627219,367416420,2023-09-01 00:16:37,21.31184,-157.87588,5.7,304.0,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
512390,368926457,2023-09-01 00:16:39,21.3548,-157.95101,0.0,141.9,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
1678425,366873510,2023-09-01 00:16:44,21.30982,-157.86562,0.0,256.3,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
6416225,533180021,2023-09-01 00:17:09,21.32308,-158.11351,0.0,126.1,44.0,MMA VALOUR,IMO9651929,9WNE6,90.0,5.0,84.0,20.0,5.6,90.0,A
