date,year,month,cell_ll_lat,cell_ll_lon,flag,geartype,hours,fishing_hours,mmsi_present
2023-01-01,2023,1,-33.8,-52.4,BRA,fixed_gear,7.8258,7.2802,1
2023-01-01,2023,1,-33.7,-51.4,BRA,drifting_longlines,1.3425,0.0,1
2023-01-01,2023,1,-33.7,-51.6,BRA,pole_and_line,0.6327,0.0,1
2023-01-01,2023,1,-33.7,-51.0,BRA,fishing,23.1877,23.1877,3
2023-01-01,2023,1,-33.7,-52.3,BRA,fishing,0.618,0.0,1
2023-01-01,2023,1,-33.7,-52.4,BRA,fishing,1.133,0.0,1
2023-01-01,2023,1,-33.7,-51.9,BRA,trawlers,1.3455,0.0,2
2023-01-01,2023,1,-33.7,-52.6,BRA,fixed_gear,1.7247,0.0,1
2023-01-01,2023,1,-33.7,-51.0,BRA,drifting_longlines,6.7927,0.6288,3
2023-01-01,2023,1,-33.7,-51.8,BRA,trawlers,1.3827,0.0,2
2023-01-01,2023,1,-33.7,-53.0,BRA,trawlers,8.5527,8.5527,2
2023-01-01,2023,1,-33.7,-52.5,BRA,fishing,1.6288,0.0,1
2023-01-01,2023,1,-33.7,-51.2,BRA,pole_and_line,16.4294,13.3325,3
2023-01-01,2023,1,-33.7,-51.4,BRA,fishing,3.3363,0.0,1
2023-01-01,2023,1,-33.6,-50.9,BRA,fishing,3.7905,3.7905,2
2023-01-01,2023,1,-33.6,-51.3,BRA,fishing,13.3972,0.0,1
2023-01-01,2023,1,-33.6,-52.1,BRA,trawlers,13.968,11.2438,4
2023-01-01,2023,1,-33.6,-50.4,BRA,drifting_longlines,3.6513,1.6358,2
2023-01-01,2023,1,-33.6,-52.6,BRA,fixed_gear,1.0177,0.0,1
2023-01-01,2023,1,-33.6,-51.4,BRA,pole_and_line,1.0413,0.0,2
2023-01-01,2023,1,-33.6,-52.9,BRA,trawlers,6.0519,6.0519,3
2023-01-01,2023,1,-33.6,-52.8,BRA,trawlers,67.6736,67.6736,5
2023-01-01,2023,1,-33.6,-52.8,BRA,set_longlines,12.043,0.0,1
2023-01-01,2023,1,-33.6,-51.2,BRA,trawlers,1.7802,0.0,2
2023-01-01,2023,1,-33.6,-51.6,BRA,trawlers,0.7188,0.0,1
2023-01-01,2023,1,-33.6,-52.9,BRA,fishing,3.1161,2.6461,1
2023-01-01,2023,1,-33.6,-50.2,BRA,drifting_longlines,12.4047,9.8258,3
2023-01-01,2023,1,-33.6,-51.6,BRA,pole_and_line,0.6033,0.0,1
2023-01-01,2023,1,-33.5,-51.5,BRA,drifting_longlines,1.16,0.0,1
2023-01-01,2023,1,-33.5,-52.3,BRA,pole_and_line,14.6247,0.0,1
2023-01-01,2023,1,-33.5,-50.1,BRA,drifting_longlines,16.59,16.3122,3
2023-01-01,2023,1,-33.5,-51.1,BRA,drifting_longlines,5.583,0.0,1
2023-01-01,2023,1,-33.5,-51.3,BRA,drifting_longlines,6.6152,0.0,3
2023-01-01,2023,1,-33.5,-52.9,BRA,fishing,1.7177,1.7177,1
2023-01-01,2023,1,-33.5,-51.7,BRA,drifting_longlines,0.058,0.0,1
2023-01-01,2023,1,-33.5,-50.8,BRA,trawlers,15.3966,14.7691,2
2023-01-01,2023,1,-33.5,-50.9,BRA,drifting_longlines,5.2819,3.6422,3
2023-01-01,2023,1,-33.5,-52.5,BRA,trawlers,0.3033,0.0,1
2023-01-01,2023,1,-33.5,-50.6,BRA,fishing,1.7683,1.7683,1
2023-01-01,2023,1,-33.5,-52.4,BRA,trawlers,7.1174,7.1174,5
2023-01-01,2023,1,-33.5,-51.4,BRA,drifting_longlines,0.933,0.0,1
2023-01-01,2023,1,-33.5,-52.1,BRA,fishing,32.8516,29.3083,3
2023-01-01,2023,1,-33.5,-50.4,BRA,fishing,3.0,3.0,1
2023-01-01,2023,1,-33.4,-50.9,BRA,drifting_longlines,4.9672,2.8066,4
2023-01-01,2023,1,-33.4,-51.5,BRA,drifting_longlines,0.3255,0.0,1
2023-01-01,2023,1,-33.4,-50.5,BRA,drifting_longlines,0.4336,0.0,1
2023-01-01,2023,1,-33.4,-50.6,BRA,fishing,3.9688,0.3627,2
2023-01-01,2023,1,-33.4,-52.3,BRA,pole_and_line,1.5425,1.5425,1
2023-01-01,2023,1,-33.4,-52.8,BRA,set_longlines,35.7772,10.0833,3
2023-01-01,2023,1,-33.4,-50.8,BRA,trawlers,29.5111,27.2455,2
2023-01-01,2023,1,-33.4,-51.7,BRA,fishing,16.1791,0.0,1
2023-01-01,2023,1,-33.4,-50.8,BRA,drifting_longlines,1.9097,0.0,1
2023-01-01,2023,1,-33.4,-52.4,BRA,fixed_gear,2.1102,0.0,1
2023-01-01,2023,1,-33.4,-51.8,BRA,set_longlines,17.893,14.1138,2
2023-01-01,2023,1,-33.4,-50.7,BRA,drifting_longlines,1.1419,0.8094,2
2023-01-01,2023,1,-33.4,-51.6,BRA,set_longlines,24.6091,23.7963,3
2023-01-01,2023,1,-33.4,-52.6,BRA,trawlers,5.7297,2.7011,4
2023-01-01,2023,1,-33.4,-51.6,BRA,drifting_longlines,1.5563,0.0,1
2023-01-01,2023,1,-33.3,-51.3,BRA,pole_and_line,2.0152,1.7177,2
2023-01-01,2023,1,-33.3,-51.8,BRA,drifting_longlines,0.6072,0.0,1
2023-01-01,2023,1,-33.3,-51.0,BRA,pole_and_line,1.4494,0.0,2
2023-01-01,2023,1,-33.3,-51.6,BRA,drifting_longlines,0.9402,0.0,1
2023-01-01,2023,1,-33.3,-52.2,BRA,fishing,1.0675,1.0675,1
2023-01-01,2023,1,-33.3,-51.2,BRA,drifting_longlines,0.2572,0.0,1
2023-01-01,2023,1,-33.3,-50.3,BRA,trollers,0.0,0.0,1
2023-01-01,2023,1,-33.3,-52.4,BRA,trawlers,24.1838,23.3466,8
2023-01-01,2023,1,-33.3,-52.0,BRA,set_longlines,0.2305,0.2305,1
2023-01-01,2023,1,-33.3,-52.5,BRA,fixed_gear,2.0141,0.0,2
2023-01-01,2023,1,-33.3,-50.2,BRA,fishing,4.8005,4.8005,1
2023-01-01,2023,1,-33.3,-50.9,BRA,pole_and_line,4.1252,0.0,4
2023-01-01,2023,1,-33.3,-52.6,BRA,trawlers,1.5872,0.0,3
2023-01-01,2023,1,-33.3,-50.8,BRA,pole_and_line,3.5005,1.4,2
2023-01-01,2023,1,-33.3,-50.9,BRA,fishing,0.8533,0.4325,1
2023-01-01,2023,1,-33.3,-52.6,BRA,fishing,6.5972,4.0644,2
2023-01-01,2023,1,-33.3,-52.1,BRA,trawlers,18.1055,12.7805,8
2023-01-01,2023,1,-33.3,-52.2,BRA,trawlers,22.483,17.4616,9
2023-01-01,2023,1,-33.2,-52.5,BRA,fishing,9.2233,1.1116,3
2023-01-01,2023,1,-33.2,-52.1,BRA,fishing,1.3672,0.0,1
2023-01-01,2023,1,-33.2,-51.1,BRA,drifting_longlines,6.4741,0.0,4
2023-01-01,2023,1,-33.2,-50.7,BRA,pole_and_line,1.2213,0.0,2
2023-01-01,2023,1,-33.2,-50.3,BRA,fishing,2.333,2.333,1
2023-01-01,2023,1,-33.2,-51.6,BRA,set_longlines,29.7333,26.9513,8
2023-01-01,2023,1,-33.2,-50.2,BRA,drifting_longlines,10.2338,10.2338,2
2023-01-01,2023,1,-33.2,-50.8,BRA,pole_and_line,4.0977,0.0,3
2023-01-01,2023,1,-33.2,-52.1,BRA,pole_and_line,0.5244,0.0,1
2023-01-01,2023,1,-33.2,-51.1,BRA,pole_and_line,6.6744,3.7811,4
2023-01-01,2023,1,-33.2,-51.9,BRA,set_longlines,9.2686,9.2686,1
2023-01-01,2023,1,-33.2,-49.9,BRA,drifting_longlines,2.3355,1.5858,1
2023-01-01,2023,1,-33.2,-52.6,BRA,set_longlines,1.55,0.0,1
2023-01-01,2023,1,-33.2,-51.1,BRA,fishing,0.3666,0.0,1
2023-01-01,2023,1,-33.2,-52.4,BRA,fishing,1.3419,0.0,1
2023-01-01,2023,1,-33.2,-51.7,BRA,pole_and_line,0.9536,0.0,1
2023-01-01,2023,1,-33.1,-50.9,BRA,trawlers,1.0444,0.0,1
2023-01-01,2023,1,-33.1,-52.1,BRA,trawlers,46.1616,41.48,8
2023-01-01,2023,1,-33.1,-52.1,BRA,fishing,0.6174,0.0,1
2023-01-01,2023,1,-33.1,-51.8,BRA,drifting_longlines,0.5505,0.0,1
2023-01-01,2023,1,-33.1,-52.4,BRA,fishing,5.8202,1.6077,3
2023-01-01,2023,1,-33.1,-52.3,BRA,fixed_gear,1.9155,0.0,2
2023-01-01,2023,1,-33.1,-51.5,BRA,drifting_longlines,6.875,0.0,5
2023-01-01,2023,1,-33.1,-52.0,BRA,pole_and_line,1.9211,0.0,1
2023-01-01,2023,1,-33.1,-51.7,BRA,drifting_longlines,0.8686,0.0,2
2023-01-01,2023,1,-33.1,-50.0,BRA,drifting_longlines,11.1324,11.1324,2
2023-01-01,2023,1,-33.1,-52.4,BRA,fixed_gear,1.175,0.0,1
2023-01-01,2023,1,-33.0,-52.4,BRA,fishing,24.7841,10.8275,2
2023-01-01,2023,1,-33.0,-52.3,BRA,pole_and_line,20.9694,0.0,1
2023-01-01,2023,1,-33.0,-50.4,BRA,drifting_longlines,9.3227,8.3827,3
2023-01-01,2023,1,-33.0,-52.0,BRA,fixed_gear,2.4594,0.0,2
2023-01-01,2023,1,-33.0,-51.4,BRA,set_longlines,32.8699,25.8294,10
2023-01-01,2023,1,-33.0,-52.3,BRA,trawlers,102.7341,97.553,8
2023-01-01,2023,1,-33.0,-50.8,BRA,drifting_longlines,3.2669,0.0,2
2023-01-01,2023,1,-33.0,-50.5,BRA,fishing,4.5313,3.7361,2
2023-01-01,2023,1,-33.0,-51.9,BRA,fixed_gear,1.0336,0.0,1
2023-01-01,2023,1,-33.0,-51.0,BRA,drifting_longlines,0.6122,0.0,1
2023-01-01,2023,1,-33.0,-51.2,BRA,drifting_longlines,0.4658,0.0,1
2023-01-01,2023,1,-33.0,-50.8,BRA,pole_and_line,1.1002,0.0,1
2023-01-01,2023,1,-33.0,-50.8,BRA,trawlers,1.2075,0.0,2
2023-01-01,2023,1,-33.0,-52.0,BRA,set_longlines,24.3777,6.438,2
2023-01-01,2023,1,-33.0,-50.6,BRA,drifting_longlines,0.9841,0.0,2
2023-01-01,2023,1,-33.0,-51.9,BRA,set_longlines,21.7744,18.1691,6
2023-01-01,2023,1,-33.0,-51.8,BRA,set_longlines,84.0547,62.8074,12
2023-01-01,2023,1,-33.0,-52.4,BRA,set_longlines,0.5666,0.0,1
2023-01-01,2023,1,-32.9,-50.2,BRA,fishing,4.5174,4.5174,1
2023-01-01,2023,1,-32.9,-51.6,BRA,fishing,0.2033,0.0,1
2023-01-01,2023,1,-32.9,-51.8,BRA,set_longlines,104.5986,67.5422,17
2023-01-01,2023,1,-32.9,-50.1,BRA,drifting_longlines,6.815,6.815,3
2023-01-01,2023,1,-32.9,-50.8,BRA,pole_and_line,1.7344,0.0,2
2023-01-01,2023,1,-32.9,-50.8,BRA,fishing,0.5186,0.0,1
2023-01-01,2023,1,-32.9,-50.6,BRA,drifting_longlines,3.9152,0.0,2
2023-01-01,2023,1,-32.9,-52.1,BRA,trawlers,65.2311,60.9613,10
2023-01-01,2023,1,-32.9,-52.1,BRA,fixed_gear,1.8013,0.0,1
2023-01-01,2023,1,-32.9,-51.9,BRA,fishing,5.8788,0.0,1
2023-01-01,2023,1,-32.9,-51.8,BRA,fixed_gear,2.8916,2.0019,2
2023-01-01,2023,1,-32.9,-51.6,BRA,drifting_longlines,3.4075,0.0,3
2023-01-01,2023,1,-32.9,-50.4,BRA,drifting_longlines,6.0083,6.0083,2
2023-01-01,2023,1,-32.9,-52.2,BRA,fixed_gear,1.333,0.0,2
2023-01-01,2023,1,-32.9,-51.7,BRA,trawlers,5.5908,3.8497,3
2023-01-01,2023,1,-32.9,-51.9,BRA,fixed_gear,2.1855,0.0,2
2023-01-01,2023,1,-32.9,-52.0,BRA,trawlers,125.3713,123.5708,11
2023-01-01,2023,1,-32.9,-51.9,BRA,trawlers,60.3194,57.5944,5
2023-01-01,2023,1,-32.9,-50.9,BRA,fishing,0.5908,0.0,1
2023-01-01,2023,1,-32.9,-51.4,BRA,set_longlines,109.1986,71.0769,12
2023-01-01,2023,1,-32.9,-51.9,BRA,pole_and_line,3.9733,3.6394,2
2023-01-01,2023,1,-32.9,-52.1,BRA,fishing,2.75,0.0,1
2023-01-01,2023,1,-32.8,-51.7,BRA,set_longlines,92.4461,78.1422,15
2023-01-01,2023,1,-32.8,-50.6,BRA,trawlers,3.5741,3.5741,1
2023-01-01,2023,1,-32.8,-50.5,BRA,fishing,6.6027,5.0997,1
2023-01-01,2023,1,-32.8,-52.1,BRA,trawlers,78.6791,75.7069,7
2023-01-01,2023,1,-32.8,-51.7,BRA,fishing,3.6813,0.0,2
2023-01-01,2023,1,-32.8,-52.2,BRA,trawlers,39.3933,32.3252,11
2023-01-01,2023,1,-32.8,-51.6,BRA,drifting_longlines,0.5202,0.0,1
2023-01-01,2023,1,-32.8,-51.4,BRA,drifting_longlines,0.3886,0.0,1
2023-01-01,2023,1,-32.8,-51.5,BRA,set_longlines,3.6433,2.9947,2
2023-01-01,2023,1,-32.8,-51.1,BRA,fishing,0.7263,0.0,1
2023-01-01,2023,1,-32.8,-51.8,BRA,drifting_longlines,9.2875,0.0,4
