mmsi,year,flag_ais,flag_registry,flag_gfw,vessel_class_inferred,vessel_class_inferred_score,vessel_class_registry,vessel_class_gfw,self_reported_fishing_vessel,length_m_inferred,length_m_registry,length_m_gfw,engine_power_kw_inferred,engine_power_kw_registry,engine_power_kw_gfw,tonnage_gt_inferred,tonnage_gt_registry,tonnage_gt_gfw,registries_listed,active_hours,fishing_hours,vessel_class_mapped
440966000,2023,KOR,KOR,KOR,drifting_longlines,0.994,drifting_longlines|set_longlines,drifting_longlines,True,52.03,49.9,49.9,787.539,,787.539,493.667,416.0,416.0,FAO|ISSF2|ISSF3,8567.235299999993,4921.8792,longliner
440986000,2023,KOR,KOR,KOR,drifting_longlines,0.995,drifting_longlines,drifting_longlines,True,50.007,51.8,51.8,763.988,743.25,743.25,463.436,529.25,529.25,FAO|FFA|IATTC|IMO|IOTC|ISSF2|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,8638.401200000006,4301.764999999999,longliner
440987000,2023,KOR,KOR,KOR,drifting_longlines,1.0,set_longlines|drifting_longlines,drifting_longlines,True,51.103,50.3,50.3,772.137,740.5,740.5,462.559,479.5,479.5,FAO|FFA|IATTC|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|WCPFC|WCPFC2,8594.128,4623.651499999996,longliner
440989000,2023,KOR,KOR,KOR,drifting_longlines,1.0,set_longlines|drifting_longlines,drifting_longlines,True,50.219,48.6,48.6,738.164,738.9,738.9,440.881,486.5,486.5,CCSBT|FAO|FFA|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|WCPFC|WCPFC2,8755.6485,5647.204,longliner
440992000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,50.75,52.7,52.7,769.547,888.6,888.6,454.003,512.5,512.5,FAO|FFA|IATTC|IMO|IOTC|ISSF2|ISSF3|ISSF4|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,8586.672499999999,4242.213200000002,longliner
440995000,2023,KOR,KOR,KOR,squid_jigger,0.888,squid_jigger,squid_jigger,True,52.965,61.7,61.7,1040.902,1029.0,1029.0,655.036,666.5,666.5,IMO|KOR|NPFC|SPRFMO,5467.747399999998,1120.8256999999994,longliner
441000075,2023,KOR,,KOR,trawlers,0.598,,trawlers,True,19.909,,19.909,346.131,,346.131,116.412,,116.412,,837.9658000000002,409.915,trawler
441012000,2023,KOR,,KOR,trawlers,0.632,,trawlers,True,25.337,,25.337,567.761,,567.761,103.755,,103.755,,908.1264000000001,80.51880000000001,trawler
441014000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,51.38,47.2,47.2,797.181,886.6,886.6,480.842,488.0,488.0,FAO|FFA|IATTC|IMO|IOTC|ISSF2|ISSF3|ISSF4|KOR|NEPAC|OPRT|OWNER|REV|TMT|WCPFC|WCPFC2,8520.415399999994,4355.627100000001,longliner
441018000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,50.678,53.3,53.3,767.611,888.6,888.6,465.084,582.0,582.0,CORR|FAO|FFA|IATTC|IMO|IOTC|ISSF2|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,8747.871000000006,4297.130500000002,longliner
441024000,2023,KOR,KOR,KOR,tuna_purse_seines,0.763,tuna_purse_seines,tuna_purse_seines,True,80.168,78.3,78.3,3497.88,3837.5,3837.5,2159.201,2132.3,2132.3,FAO|FFA|IMO|ISSF|ISSF2|ISSF3|ISSF4|KOR|WCPFC|WCPFC2,1049.7994,69.3229,purse_seiner
441038000,2023,KOR,KOR,KOR,drifting_longlines,0.993,drifting_longlines,drifting_longlines,True,51.197,53.0,53.0,772.948,888.6,888.6,449.126,522.0,522.0,FAO|FFA|IATTC|IMO|IOTC|ISSF2|ISSF3|ISSF4|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,8709.508999999993,3995.2407000000026,longliner
441043000,2023,KOR,KOR,KOR,drifting_longlines,0.974,drifting_longlines,drifting_longlines,True,50.136,53.0,53.0,756.207,888.6,888.6,451.125,523.5,523.5,FAO|FFA|IATTC|IMO|IOTC|ISSF2|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,7769.090700000002,4298.636899999998,longliner
441050000,2023,KOR,KOR,KOR,trawlers,0.955,fishing,trawlers,True,61.721,52.1,52.1,1371.693,,1371.693,1229.126,647.333,647.333,FAO|IMO|OWNER,1588.842,382.80480000000006,trawler
441050614,2023,KOR,,KOR,drifting_longlines,0.998,,set_longlines,True,25.888,,25.888,418.585,,418.585,102.739,,102.739,,1700.3282999999997,562.0853,longliner
441051000,2023,KOR,KOR,KOR,trawlers,0.888,trawlers,trawlers,True,60.195,55.3,55.3,1335.014,1911.5,1911.5,1308.062,546.0,546.0,FAO|IMO|KOR|OWNER|SPRFMO|SPRFMO2,7727.5977999999905,4880.247799999998,trawler
441066000,2023,KOR,KOR,KOR,tuna_purse_seines,0.645,tuna_purse_seines,tuna_purse_seines,True,84.007,76.4,76.4,3482.158,2757.8,2757.8,2345.165,1277.0,1277.0,FAO|FFA|IMO|ISSF|ISSF2|ISSF3|ISSF4|KOR|WCPFC|WCPFC2,1183.7855999999997,94.2399,purse_seiner
